duration_ms,trials,n_support,d_AA_noise_hz,d_AB_signal_hz,R,threshold,verdict
1000,5,44,5.104,79.44,15.566,3.0,CONFIRMED
100,1,37,46.091,88.253,1.915,3.0,marginal
