seed,duration_ms,trials,cue,root_id,cell_type,side,rate_hz
20260320,100.0,1,a,720575940609959637,MBON32,left,30.0
20260320,100.0,1,a,720575940610964946,MBON09,right,30.0
20260320,100.0,1,a,720575940617302365,MBON07,left,40.0
20260320,100.0,1,a,720575940617552340,MBON02,right,30.0
20260320,100.0,1,a,720575940621828443,MBON12,left,30.0
20260320,100.0,1,a,720575940623182847,MBON33,left,10.0
20260320,100.0,1,a,720575940623201833,MBON11,left,100.0
20260320,100.0,1,a,720575940624185095,MBON02,left,30.0
20260320,100.0,1,a,720575940624539284,MBON18,left,20.0
20260320,100.0,1,a,720575940624590316,MBON03,right,70.0
20260320,100.0,1,a,720575940628734376,MBON04,right,10.0
20260320,100.0,1,a,720575940629422086,MBON09,left,110.0
20260320,100.0,1,a,720575940629856515,MBON09,left,110.0
20260320,100.0,1,a,720575940630075703,MBON12,left,20.0
20260320,100.0,1,a,720575940630496374,MBON05,right,20.0
20260320,100.0,1,a,720575940630864847,MBON09,right,20.0
20260320,100.0,1,a,720575940631177803,MBON24,left,10.0
20260320,100.0,1,a,720575940632535756,MBON14,left,60.0
20260320,100.0,1,a,720575940636992368,MBON31,right,10.0
20260320,100.0,1,a,720575940637902938,MBON35,left,10.0
20260320,100.0,1,a,720575940638028607,MBON06,right,20.0
20260320,100.0,1,a,720575940643696288,MBON14,left,70.0
20260320,100.0,1,a,720575940645304430,MBON13,left,10.0
20260320,100.0,1,a,720575940652390134,MBON07,left,10.0
