seed,duration_ms,trials,rate_hz_stim,root_id,cell_type,side,rate_hz
20260316,1000.0,5,60.0,720575940609959637,MBON32,left,0.2
20260316,1000.0,5,60.0,720575940610647416,MBON10,right,0.6
20260316,1000.0,5,60.0,720575940610964946,MBON09,right,0.2
20260316,1000.0,5,60.0,720575940615221811,MBON10,right,0.6
20260316,1000.0,5,60.0,720575940617302365,MBON07,left,0.2
20260316,1000.0,5,60.0,720575940617749538,MBON11,right,0.4
20260316,1000.0,5,60.0,720575940621828443,MBON12,left,6.6
20260316,1000.0,5,60.0,720575940623182847,MBON33,left,0.4
20260316,1000.0,5,60.0,720575940623201833,MBON11,left,1.0
20260316,1000.0,5,60.0,720575940624185095,MBON02,left,0.2
20260316,1000.0,5,60.0,720575940624590316,MBON03,right,19.0
20260316,1000.0,5,60.0,720575940628734376,MBON04,right,0.2
20260316,1000.0,5,60.0,720575940629422086,MBON09,left,55.8
20260316,1000.0,5,60.0,720575940629585602,MBON10,right,0.2
20260316,1000.0,5,60.0,720575940629856515,MBON09,left,53.6
20260316,1000.0,5,60.0,720575940629981440,MBON26,left,0.2
20260316,1000.0,5,60.0,720575940630075703,MBON12,left,0.6
20260316,1000.0,5,60.0,720575940630864847,MBON09,right,0.6
20260316,1000.0,5,60.0,720575940631177803,MBON24,left,0.2
20260316,1000.0,5,60.0,720575940632118343,MBON10,left,0.8
20260316,1000.0,5,60.0,720575940632535756,MBON14,left,29.2
20260316,1000.0,5,60.0,720575940633209647,MBON10,left,0.2
20260316,1000.0,5,60.0,720575940639556467,MBON10,right,0.8
20260316,1000.0,5,60.0,720575940642142861,MBON10,left,0.8
20260316,1000.0,5,60.0,720575940643696288,MBON14,left,37.6
20260316,1000.0,5,60.0,720575940645304430,MBON13,left,0.2
20260316,1000.0,5,60.0,720575940647328900,MBON10,right,0.6
