condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,mbons_nonzero,720575940606953858,MBON23,right,70.8
odor_a_da1_left,mbons_nonzero,720575940609959637,MBON32,left,166.8
odor_a_da1_left,mbons_nonzero,720575940610647416,MBON10,right,53.0
odor_a_da1_left,mbons_nonzero,720575940610964946,MBON09,right,210.2
odor_a_da1_left,mbons_nonzero,720575940611344078,MBON20,right,130.0
odor_a_da1_left,mbons_nonzero,720575940612455338,MBON15,right,36.4
odor_a_da1_left,mbons_nonzero,720575940614026193,MBON14,right,182.6
odor_a_da1_left,mbons_nonzero,720575940614392999,MBON29,left,2.0
odor_a_da1_left,mbons_nonzero,720575940614595218,MBON28,left,10.6
odor_a_da1_left,mbons_nonzero,720575940614892182,MBON28,right,9.8
odor_a_da1_left,mbons_nonzero,720575940615221811,MBON10,right,56.8
odor_a_da1_left,mbons_nonzero,720575940616463477,MBON22,left,197.0
odor_a_da1_left,mbons_nonzero,720575940617302365,MBON07,left,204.2
odor_a_da1_left,mbons_nonzero,720575940617552340,MBON02,right,192.0
odor_a_da1_left,mbons_nonzero,720575940617567206,MBON23,left,8.0
odor_a_da1_left,mbons_nonzero,720575940617749538,MBON11,right,247.6
odor_a_da1_left,mbons_nonzero,720575940618008859,MBON30,left,67.0
odor_a_da1_left,mbons_nonzero,720575940620715224,MBON21,left,34.0
odor_a_da1_left,mbons_nonzero,720575940621164720,MBON05,left,230.0
odor_a_da1_left,mbons_nonzero,720575940621777391,MBON21,right,28.0
odor_a_da1_left,mbons_nonzero,720575940621828443,MBON12,left,156.2
odor_a_da1_left,mbons_nonzero,720575940622093436,MBON15,right,17.4
odor_a_da1_left,mbons_nonzero,720575940622997453,MBON18,right,127.4
odor_a_da1_left,mbons_nonzero,720575940623001480,MBON12,right,137.2
odor_a_da1_left,mbons_nonzero,720575940623182847,MBON33,left,83.8
odor_a_da1_left,mbons_nonzero,720575940623201833,MBON11,left,252.8
odor_a_da1_left,mbons_nonzero,720575940623381956,MBON07,right,176.2
odor_a_da1_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,29.4
odor_a_da1_left,mbons_nonzero,720575940623905719,MBON12,right,138.0
odor_a_da1_left,mbons_nonzero,720575940624117245,MBON01,right,201.2
odor_a_da1_left,mbons_nonzero,720575940624185095,MBON02,left,168.6
odor_a_da1_left,mbons_nonzero,720575940624280328,MBON33,right,60.8
odor_a_da1_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,59.8
odor_a_da1_left,mbons_nonzero,720575940624539284,MBON18,left,164.0
odor_a_da1_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,39.6
odor_a_da1_left,mbons_nonzero,720575940626109315,MBON19,right,0.6
odor_a_da1_left,mbons_nonzero,720575940626315010,MBON13,right,61.0
odor_a_da1_left,mbons_nonzero,720575940628783363,MBON07,right,176.6
odor_a_da1_left,mbons_nonzero,720575940629422086,MBON09,left,240.4
odor_a_da1_left,mbons_nonzero,720575940629529722,MBON10,left,35.8
odor_a_da1_left,mbons_nonzero,720575940629585602,MBON10,right,63.2
odor_a_da1_left,mbons_nonzero,720575940629856515,MBON09,left,240.4
odor_a_da1_left,mbons_nonzero,720575940629981440,MBON26,left,1.0
odor_a_da1_left,mbons_nonzero,720575940630075703,MBON12,left,162.4
odor_a_da1_left,mbons_nonzero,720575940630496374,MBON05,right,259.6
odor_a_da1_left,mbons_nonzero,720575940630767959,MBON15,left,40.0
odor_a_da1_left,mbons_nonzero,720575940630864847,MBON09,right,211.0
odor_a_da1_left,mbons_nonzero,720575940631177803,MBON24,left,151.0
odor_a_da1_left,mbons_nonzero,720575940632118343,MBON10,left,59.6
odor_a_da1_left,mbons_nonzero,720575940632535756,MBON14,left,198.4
odor_a_da1_left,mbons_nonzero,720575940633209647,MBON10,left,50.0
odor_a_da1_left,mbons_nonzero,720575940635063135,MBON22,right,143.2
odor_a_da1_left,mbons_nonzero,720575940635082347,MBON15-like,left,31.8
odor_a_da1_left,mbons_nonzero,720575940635841143,MBON15,left,19.6
odor_a_da1_left,mbons_nonzero,720575940636992368,MBON31,right,87.0
odor_a_da1_left,mbons_nonzero,720575940637902938,MBON35,left,114.6
odor_a_da1_left,mbons_nonzero,720575940637934308,MBON30,right,196.2
odor_a_da1_left,mbons_nonzero,720575940638028607,MBON06,right,238.6
odor_a_da1_left,mbons_nonzero,720575940638163428,MBON06,left,106.2
odor_a_da1_left,mbons_nonzero,720575940638526278,MBON32,right,106.8
odor_a_da1_left,mbons_nonzero,720575940639556467,MBON10,right,64.8
odor_a_da1_left,mbons_nonzero,720575940639697827,MBON14,right,187.0
odor_a_da1_left,mbons_nonzero,720575940642142861,MBON10,left,41.6
odor_a_da1_left,mbons_nonzero,720575940643309197,MBON01,left,65.2
odor_a_da1_left,mbons_nonzero,720575940643696288,MBON14,left,201.2
odor_a_da1_left,mbons_nonzero,720575940643863496,MBON20,left,10.0
odor_a_da1_left,mbons_nonzero,720575940645304430,MBON13,left,81.8
odor_a_da1_left,mbons_nonzero,720575940647328900,MBON10,right,57.0
odor_a_da1_left,mbons_nonzero,720575940652390134,MBON07,left,202.8
