condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,mbons_nonzero,720575940611344078,MBON20,right,126.4
odor_a_da1_left,mbons_nonzero,720575940612455338,MBON15,right,35.6
odor_a_da1_left,mbons_nonzero,720575940614026193,MBON14,right,168.4
odor_a_da1_left,mbons_nonzero,720575940614392999,MBON29,left,1.8
odor_a_da1_left,mbons_nonzero,720575940614595218,MBON28,left,10.2
odor_a_da1_left,mbons_nonzero,720575940614892182,MBON28,right,7.8
odor_a_da1_left,mbons_nonzero,720575940615221811,MBON10,right,56.6
odor_a_da1_left,mbons_nonzero,720575940616463477,MBON22,left,184.6
odor_a_da1_left,mbons_nonzero,720575940617302365,MBON07,left,193.4
odor_a_da1_left,mbons_nonzero,720575940617552340,MBON02,right,177.8
odor_a_da1_left,mbons_nonzero,720575940617567206,MBON23,left,1.0
odor_a_da1_left,mbons_nonzero,720575940617749538,MBON11,right,241.0
odor_a_da1_left,mbons_nonzero,720575940618008859,MBON30,left,23.2
odor_a_da1_left,mbons_nonzero,720575940620715224,MBON21,left,1.6
odor_a_da1_left,mbons_nonzero,720575940621164720,MBON05,left,218.8
odor_a_da1_left,mbons_nonzero,720575940621777391,MBON21,right,0.6
odor_a_da1_left,mbons_nonzero,720575940621828443,MBON12,left,151.4
odor_a_da1_left,mbons_nonzero,720575940622093436,MBON15,right,15.8
odor_a_da1_left,mbons_nonzero,720575940622997453,MBON18,right,89.8
odor_a_da1_left,mbons_nonzero,720575940623001480,MBON12,right,132.6
odor_a_da1_left,mbons_nonzero,720575940623182847,MBON33,left,80.8
odor_a_da1_left,mbons_nonzero,720575940623201833,MBON11,left,247.2
odor_a_da1_left,mbons_nonzero,720575940623381956,MBON07,right,159.8
odor_a_da1_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,25.4
odor_a_da1_left,mbons_nonzero,720575940623905719,MBON12,right,133.6
odor_a_da1_left,mbons_nonzero,720575940624117245,MBON01,right,192.6
odor_a_da1_left,mbons_nonzero,720575940624185095,MBON02,left,158.6
odor_a_da1_left,mbons_nonzero,720575940624280328,MBON33,right,59.2
odor_a_da1_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,55.8
odor_a_da1_left,mbons_nonzero,720575940624539284,MBON18,left,149.6
odor_a_da1_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,36.8
odor_a_da1_left,mbons_nonzero,720575940626109315,MBON19,right,1.0
odor_a_da1_left,mbons_nonzero,720575940626315010,MBON13,right,62.8
odor_a_da1_left,mbons_nonzero,720575940628783363,MBON07,right,160.2
odor_a_da1_left,mbons_nonzero,720575940629422086,MBON09,left,236.0
odor_a_da1_left,mbons_nonzero,720575940629529722,MBON10,left,34.2
odor_a_da1_left,mbons_nonzero,720575940629585602,MBON10,right,61.6
odor_a_da1_left,mbons_nonzero,720575940629856515,MBON09,left,236.0
odor_a_da1_left,mbons_nonzero,720575940629981440,MBON26,left,1.0
odor_a_da1_left,mbons_nonzero,720575940630075703,MBON12,left,156.2
odor_a_da1_left,mbons_nonzero,720575940630496374,MBON05,right,253.0
odor_a_da1_left,mbons_nonzero,720575940630767959,MBON15,left,38.2
odor_a_da1_left,mbons_nonzero,720575940630864847,MBON09,right,205.2
odor_a_da1_left,mbons_nonzero,720575940631177803,MBON24,left,139.8
odor_a_da1_left,mbons_nonzero,720575940632118343,MBON10,left,59.6
odor_a_da1_left,mbons_nonzero,720575940632535756,MBON14,left,189.8
odor_a_da1_left,mbons_nonzero,720575940633209647,MBON10,left,48.8
odor_a_da1_left,mbons_nonzero,720575940635063135,MBON22,right,110.4
odor_a_da1_left,mbons_nonzero,720575940635082347,MBON15-like,left,30.2
odor_a_da1_left,mbons_nonzero,720575940635841143,MBON15,left,18.2
odor_a_da1_left,mbons_nonzero,720575940636992368,MBON31,right,86.2
odor_a_da1_left,mbons_nonzero,720575940637902938,MBON35,left,106.2
odor_a_da1_left,mbons_nonzero,720575940637934308,MBON30,right,188.2
odor_a_da1_left,mbons_nonzero,720575940638028607,MBON06,right,229.6
odor_a_da1_left,mbons_nonzero,720575940638163428,MBON06,left,77.8
odor_a_da1_left,mbons_nonzero,720575940638526278,MBON32,right,99.4
odor_a_da1_left,mbons_nonzero,720575940639556467,MBON10,right,64.4
odor_a_da1_left,mbons_nonzero,720575940639697827,MBON14,right,174.2
odor_a_da1_left,mbons_nonzero,720575940642142861,MBON10,left,40.4
odor_a_da1_left,mbons_nonzero,720575940643309197,MBON01,left,40.4
odor_a_da1_left,mbons_nonzero,720575940643696288,MBON14,left,193.0
odor_a_da1_left,mbons_nonzero,720575940643863496,MBON20,left,2.0
odor_a_da1_left,mbons_nonzero,720575940645304430,MBON13,left,80.6
odor_a_da1_left,mbons_nonzero,720575940647328900,MBON10,right,56.4
odor_a_da1_left,mbons_nonzero,720575940652390134,MBON07,left,192.6
odor_a_da1_left,pam_nonzero,720575940604479590,PAM08,left,75.2
odor_a_da1_left,pam_nonzero,720575940605113376,PAM08,right,45.4
odor_a_da1_left,pam_nonzero,720575940605280201,PAM08,right,51.8
odor_a_da1_left,pam_nonzero,720575940605891040,PAM11,left,23.8
odor_a_da1_left,pam_nonzero,720575940608071435,PAM08,right,70.8
odor_a_da1_left,pam_nonzero,720575940609414468,PAM04,left,99.8
odor_a_da1_left,pam_nonzero,720575940610430254,PAM07,right,54.8
odor_a_da1_left,pam_nonzero,720575940610523746,PAM04,right,3.8
odor_a_da1_left,pam_nonzero,720575940610569028,PAM08,left,79.6
odor_a_da1_left,pam_nonzero,720575940611129698,PAM10,left,48.0
odor_a_da1_left,pam_nonzero,720575940611918578,PAM08,right,43.0
odor_a_da1_left,pam_nonzero,720575940612623474,PAM08,right,50.4
odor_a_da1_left,pam_nonzero,720575940612802479,PAM04,left,84.0
odor_a_da1_left,pam_nonzero,720575940612857878,PAM08,right,40.4
odor_a_da1_left,pam_nonzero,720575940612920999,PAM11,left,47.8
odor_a_da1_left,pam_nonzero,720575940613338152,PAM04,right,70.4
odor_a_da1_left,pam_nonzero,720575940614677810,PAM12,right,0.2
odor_a_da1_left,pam_nonzero,720575940614991221,PAM08,left,25.6
odor_a_da1_left,pam_nonzero,720575940615607975,PAM01,left,20.4
odor_a_da1_left,pam_nonzero,720575940616882757,PAM11,left,53.4
odor_a_da1_left,pam_nonzero,720575940616986769,PAM08,left,77.4
odor_a_da1_left,pam_nonzero,720575940617145561,PAM01,right,28.0
odor_a_da1_left,pam_nonzero,720575940617242841,PAM08,right,45.2
odor_a_da1_left,pam_nonzero,720575940617553809,PAM08,left,28.4
odor_a_da1_left,pam_nonzero,720575940618744118,PAM01,left,55.0
odor_a_da1_left,pam_nonzero,720575940619101062,PAM11,left,84.8
odor_a_da1_left,pam_nonzero,720575940619251416,PAM08,left,45.6
odor_a_da1_left,pam_nonzero,720575940619299054,PAM08,left,66.0
odor_a_da1_left,pam_nonzero,720575940619402576,PAM07,right,41.0
odor_a_da1_left,pam_nonzero,720575940619785492,PAM01,left,21.4
odor_a_da1_left,pam_nonzero,720575940619823536,PAM08,right,64.0
odor_a_da1_left,pam_nonzero,720575940619844261,PAM08,left,44.8
odor_a_da1_left,pam_nonzero,720575940620260800,PAM05,left,23.2
odor_a_da1_left,pam_nonzero,720575940620341931,PAM07,right,43.8
odor_a_da1_left,pam_nonzero,720575940620352646,PAM12,left,0.8
odor_a_da1_left,pam_nonzero,720575940620423533,PAM10,right,81.4
odor_a_da1_left,pam_nonzero,720575940620576238,PAM10,right,77.8
odor_a_da1_left,pam_nonzero,720575940621085622,PAM08,right,41.6
odor_a_da1_left,pam_nonzero,720575940621136519,PAM11,left,75.0
odor_a_da1_left,pam_nonzero,720575940621166256,PAM12,left,11.6
odor_a_da1_left,pam_nonzero,720575940621216982,PAM08,right,65.0
odor_a_da1_left,pam_nonzero,720575940621434145,PAM04,left,24.8
odor_a_da1_left,pam_nonzero,720575940621462512,PAM01,right,37.2
odor_a_da1_left,pam_nonzero,720575940621617286,PAM08,left,54.8
odor_a_da1_left,pam_nonzero,720575940622107869,PAM08,left,33.0
odor_a_da1_left,pam_nonzero,720575940622338269,PAM08,right,57.0
odor_a_da1_left,pam_nonzero,720575940622387981,PAM08,left,44.8
odor_a_da1_left,pam_nonzero,720575940622701808,PAM11,right,30.6
odor_a_da1_left,pam_nonzero,720575940623201023,PAM04,left,81.8
odor_a_da1_left,pam_nonzero,720575940623398524,PAM08,right,55.2
odor_a_da1_left,pam_nonzero,720575940623696647,PAM05,left,38.8
odor_a_da1_left,pam_nonzero,720575940623792055,PAM10,left,85.0
odor_a_da1_left,pam_nonzero,720575940624545940,PAM07,left,17.6
odor_a_da1_left,pam_nonzero,720575940624629223,PAM07,left,35.4
odor_a_da1_left,pam_nonzero,720575940624661031,PAM10,right,67.8
odor_a_da1_left,pam_nonzero,720575940624687850,PAM12,left,13.4
odor_a_da1_left,pam_nonzero,720575940624859725,PAM04,right,92.2
odor_a_da1_left,pam_nonzero,720575940625568186,PAM08,left,46.6
odor_a_da1_left,pam_nonzero,720575940625615248,PAM04,right,59.8
odor_a_da1_left,pam_nonzero,720575940626420045,PAM04,left,61.8
odor_a_da1_left,pam_nonzero,720575940626506472,PAM11,left,36.0
odor_a_da1_left,pam_nonzero,720575940626878460,PAM10,right,84.4
odor_a_da1_left,pam_nonzero,720575940627103877,PAM04,left,89.4
