stim_rate_hz,circuit_score,n_nonzero_mbons,dist_from_30hz
30.0,-9.6,5,0.0
60.0,-18.51111111111111,27,65.39174259797639
90.0,-33.89999999999999,32,121.60230260977792
120.0,-51.85000000000001,23,176.29600108907746
150.0,-66.80555555555554,33,222.8833775767049
