seed,duration_ms,trials,rate_hz_stim,root_id,cell_type,side,rate_hz
20260316,1000.0,5,90.0,720575940609959637,MBON32,left,7.4
20260316,1000.0,5,90.0,720575940610647416,MBON10,right,0.2
20260316,1000.0,5,90.0,720575940610964946,MBON09,right,1.2
20260316,1000.0,5,90.0,720575940615221811,MBON10,right,0.2
20260316,1000.0,5,90.0,720575940617302365,MBON07,left,4.8
20260316,1000.0,5,90.0,720575940617552340,MBON02,right,16.2
20260316,1000.0,5,90.0,720575940617749538,MBON11,right,0.2
20260316,1000.0,5,90.0,720575940620464321,MBON04,left,0.2
20260316,1000.0,5,90.0,720575940621828443,MBON12,left,4.0
20260316,1000.0,5,90.0,720575940622979277,MBON27,left,0.2
20260316,1000.0,5,90.0,720575940623182847,MBON33,left,0.2
20260316,1000.0,5,90.0,720575940623201833,MBON11,left,41.8
20260316,1000.0,5,90.0,720575940624185095,MBON02,left,13.6
20260316,1000.0,5,90.0,720575940624590316,MBON03,right,49.6
20260316,1000.0,5,90.0,720575940628734376,MBON04,right,0.4
20260316,1000.0,5,90.0,720575940629422086,MBON09,left,77.8
20260316,1000.0,5,90.0,720575940629856515,MBON09,left,76.4
20260316,1000.0,5,90.0,720575940630075703,MBON12,left,1.4
20260316,1000.0,5,90.0,720575940630864847,MBON09,right,1.6
20260316,1000.0,5,90.0,720575940631177803,MBON24,left,0.6
20260316,1000.0,5,90.0,720575940632118343,MBON10,left,0.4
20260316,1000.0,5,90.0,720575940632535756,MBON14,left,44.2
20260316,1000.0,5,90.0,720575940633209647,MBON10,left,0.2
20260316,1000.0,5,90.0,720575940636992368,MBON31,right,0.2
20260316,1000.0,5,90.0,720575940637902938,MBON35,left,2.0
20260316,1000.0,5,90.0,720575940638028607,MBON06,right,0.2
20260316,1000.0,5,90.0,720575940639556467,MBON10,right,0.2
20260316,1000.0,5,90.0,720575940642142861,MBON10,left,0.4
20260316,1000.0,5,90.0,720575940643696288,MBON14,left,53.2
20260316,1000.0,5,90.0,720575940645304430,MBON13,left,0.4
20260316,1000.0,5,90.0,720575940647328900,MBON10,right,0.2
20260316,1000.0,5,90.0,720575940652390134,MBON07,left,0.2
